"tag","date","id","species","sample","enc","section","lagSection","moveDir","distMoved","len","wt","river","year","season","seasonStr"
"1bf1303ae3",2004-06-29,27,"bkt",38,1,3,3,0,0,149,33.9,"IL",2004,2,"Summer"
"1bf1303ae6",2003-05-01,28,"bkt",33,1,14,8,1,6,108,16.2,"IL",2003,1,"Spring"
"1bf1303ae6",2003-06-20,28,"bkt",34,0,14,14,0,0,129,NA,"IL",2003,2,"Summer"
"1bf1303ae6",2003-10-14,28,"bkt",35,1,15,14,1,1,150,36.3,"IL",2003,3,"Autumn"
"1bf1303b6b",2003-04-30,29,"bkt",33,1,3,3,0,0,123,19.4,"IL",2003,1,"Spring"
"1bf1303c51",2003-04-30,30,"bkt",33,1,3,3,0,0,151,41,"IL",2003,1,"Spring"
"1bf1303c51",2003-07-02,30,"bkt",34,1,3,3,0,0,174,60.1,"IL",2003,2,"Summer"
"1bf1303c51",2003-10-14,30,"bkt",35,1,9,3,1,6,183,68.9,"IL",2003,3,"Autumn"
"1bf1303c51",2003-12-31,30,"bkt",36,1,3,9,-1,-6,187,68,"IL",2003,4,"Winter"
"1bf1303c51",2004-04-22,30,"bkt",37,1,3,3,0,0,188,71.6,"IL",2004,1,"Spring"
"1bf1303c51",2004-06-29,30,"bkt",38,1,3,3,0,0,198,88.4,"IL",2004,2,"Summer"
"1bf1303ffd",2003-04-30,31,"bkt",33,1,9,9,0,0,102,11.2,"IL",2003,1,"Spring"
"1bf1303ffd",2003-07-03,31,"bkt",34,1,10,9,1,1,123,20.6,"IL",2003,2,"Summer"
"1bf13040b6",2003-04-16,32,"bkt",33,0,14,14,0,0,122,NA,"IL",2003,1,"Spring"
"1bf13040b6",2003-06-20,32,"bkt",34,0,14,14,0,0,134,NA,"IL",2003,2,"Summer"
"1bf13042b2",2003-04-16,33,"bkt",33,0,7,7,0,0,124.666666666667,NA,"IL",2003,1,"Spring"
"1bf13042b2",2003-07-02,33,"bkt",34,1,2,7,-1,-5,133,25.7,"IL",2003,2,"Summer"
"1bf13042b2",2003-09-12,33,"bkt",35,0,2,2,0,0,138,NA,"IL",2003,3,"Autumn"
"1bf13042b2",2003-12-31,33,"bkt",36,1,2,2,0,0,143,25.6,"IL",2003,4,"Winter"
"1bf1304443",2003-04-16,34,"bkt",33,0,4,4,0,0,112,NA,"IL",2003,1,"Spring"
"1bf1304443",2003-07-02,34,"bkt",34,1,4,4,0,0,118,17.9,"IL",2003,2,"Summer"
"1bf1304443",2003-09-12,34,"bkt",35,0,4,4,0,0,124.5,NA,"IL",2003,3,"Autumn"
"1bf1304443",2003-12-31,34,"bkt",36,1,4,4,0,0,131,20.7,"IL",2003,4,"Winter"
"1bf1304443",2004-04-22,34,"bkt",37,1,4,4,0,0,135,24.2,"IL",2004,1,"Spring"
